ID;Event;Duration;Pattern Duration
0;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;246;0
1;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;172;0
2;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;310;0
3;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;172;0
4;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;226;0
5;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;259;0
6;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;321;0
7;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;223;0
8;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;158;0
9;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;260;0
10;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;250;0
11;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;259;0
12;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;313;0
13;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;225;0
14;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;313;0
15;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;250;0
16;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;266;0
17;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;225;0
18;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;255;0
19;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;266;0
20;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;246;0
21;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;251;0
22;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;257;0
23;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;251;0
24;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;272;0
25;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;283;0
26;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;277;0
27;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;241;0
28;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;233;0
29;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;206;0
30;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;246;0
31;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;249;0
32;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;278;0
33;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;152;0
34;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;171;0
35;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;224;0
36;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;243;0
37;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;252;0
38;0xdbb69440df8433824a026ef190652f29929eb64b4d1d5d2a69be8afe3e6eaed8;189;0
